Sang,16/12/1992,male,123456789,987654321,abc123@abc.com,Vip,Da Nang,V112,Villa lamark,100.0,6000.0,5,4d3n,vip,bbq,40.4,3
Sang,16/12/1992,male,123456789,987654321,abc123@abc.com,Vip,Da Nang,H111,House,12312.12312,12312.0,7,Vip,Normal,Buffet,3
Sang,16/12/1992,male,123456789,987654321,abc123@abc.com,Vip,Da Nang,V111,Villa2,1231.123,32131.0,10,4d3n,Vip,BBQ,100.0,2
Sang,16/12/1992,male,123456789,987654321,abc123@abc.com,Vip,Da Nang,SVVL-1111,Villa,40.0,1000.0,10,Fourday,Vip,Bbq,31.123,5
Sang,16/12/1992,male,123456789,987654321,abc123@abc.com,Vip,Da Nang,R114,Room,312.132,1000.0,4,4D6N,Water
Hau,17/10/1995,female,123456790,98765431,leduchau12@gmail.com,Normal,Ha Noi,H111,House,12312.12312,12312.0,7,Vip,Normal,Buffet,3
Dong,19/02/1992,female,206666666,987655644,tranhonggiadong19@gmail.com,Normal,Le Loi,H111,House,12312.12312,12312.0,7,Vip,Normal,Buffet,3
Joan,10/05/1992,male,987654112,206672451,joan173@abc.com,Vip,Spanish,SVVL-1212,Villa Lamark,100.0,2000.0,5,Vip,Gold,Bbq,1000.0,3
Nguyen Van A,29/01/1992,male,123456654,999999999,abc1232@gmail.com,Normal,Da Lat,SVVL-1212,Villa Lamark,100.0,2000.0,5,Vip,Gold,Bbq,1000.0,3
Dong,19/02/1992,female,206666666,987655644,tranhonggiadong19@gmail.com,Normal,Le Loi,SVVL-1212,Villa Lamark,100.0,2000.0,5,Vip,Gold,Bbq,1000.0,3
